date,salevenue,sales,cost
2019-01-07,dotcom,72.069,648.5154
2019-01-14,dotcom,91.89,648.5154
2019-01-21,dotcom,83.589,648.5154
2019-01-28,dotcom,95.316,648.5154
2019-02-04,dotcom,105.41,34331.676
2019-02-11,dotcom,111.141,34331.676
2019-02-18,dotcom,72.954,34331.676
2019-02-25,dotcom,171.729,34331.676
2019-03-04,dotcom,125.933,73314.9529
2019-03-11,dotcom,102.935,73314.9529
2019-03-18,dotcom,145.97,73314.9529
2019-03-25,dotcom,116.494,73314.9529
2019-04-01,dotcom,82.139,73314.9529
2019-04-08,dotcom,110.726,31105.0284
2019-04-15,dotcom,103.114,31105.0284
2019-04-22,dotcom,272.668,31105.0284
2019-04-29,dotcom,578.493,31105.0284
2019-05-06,dotcom,401.778,8884.4262
2019-05-13,dotcom,75.581,8884.4262
2019-05-20,dotcom,96.355,8884.4262
2019-05-27,dotcom,88.511,8884.4262
2019-06-03,dotcom,119.351,824.4262
2019-06-10,dotcom,101.834,824.4262
2019-06-17,dotcom,68.302,824.4262
2019-06-24,dotcom,78.171,824.4262
2019-07-01,dotcom,58.115,980.031
2019-07-08,dotcom,73.947,980.031
2019-07-15,dotcom,64.529,980.031
2019-07-22,dotcom,77.473,980.031
2019-07-29,dotcom,87.597,980.031
2019-08-05,dotcom,71.715,993.9886
2019-08-12,dotcom,71.764,993.9886
2019-08-19,dotcom,384.638,993.9886
2019-08-26,dotcom,304.635,993.9886
2019-09-02,dotcom,91.841,31927.6966
2019-09-09,dotcom,121.045,31927.6966
2019-09-16,dotcom,95.422,31927.6966
2019-09-23,dotcom,94.424,31927.6966
2019-09-30,dotcom,176.839,31927.6966
2019-10-07,dotcom,183.954,7233.9886
2019-10-14,dotcom,129.833,7233.9886
2019-10-21,dotcom,119.001,7233.9886
2019-10-28,dotcom,300.961,7233.9886
2019-11-04,dotcom,644.383,15315.9508
2019-11-11,dotcom,505.442,15315.9508
2019-11-18,dotcom,199.502,15315.9508
2019-11-25,dotcom,148.227,15315.9508
2019-12-02,dotcom,313.191,175797.1626
2019-12-09,dotcom,247.707,175797.1626
2019-12-16,dotcom,219.967,175797.1626
2019-12-23,dotcom,132.64,175797.1626
2019-12-30,dotcom,92.856,175797.1626
2019-01-07,brickmortar,835.675,648.5154
2019-01-14,brickmortar,930.968,648.5154
2019-01-21,brickmortar,974.281,648.5154
2019-01-28,brickmortar,858.902,648.5154
2019-02-04,brickmortar,1139.937,34331.676
2019-02-11,brickmortar,1730.656,34331.676
2019-02-18,brickmortar,1014.312,34331.676
2019-02-25,brickmortar,959.14,34331.676
2019-03-04,brickmortar,1327.175,73314.9529
2019-03-11,brickmortar,1114.886,73314.9529
2019-03-18,brickmortar,1224.24,73314.9529
2019-03-25,brickmortar,1165.955,73314.9529
2019-04-01,brickmortar,1194.949,73314.9529
2019-04-08,brickmortar,1192.393,31105.0284
2019-04-15,brickmortar,1077.103,31105.0284
2019-04-22,brickmortar,1458.028,31105.0284
2019-04-29,brickmortar,1626.889,31105.0284
2019-05-06,brickmortar,1508.332,8884.4262
2019-05-13,brickmortar,1086.808,8884.4262
2019-05-20,brickmortar,1017.022,8884.4262
2019-05-27,brickmortar,1114.854,8884.4262
2019-06-03,brickmortar,1302.906,824.4262
2019-06-10,brickmortar,1286.185,824.4262
2019-06-17,brickmortar,1084.819,824.4262
2019-06-24,brickmortar,1062.463,824.4262
2019-07-01,brickmortar,892.717,980.031
2019-07-08,brickmortar,951.451,980.031
2019-07-15,brickmortar,1056.009,980.031
2019-07-22,brickmortar,1105.972,980.031
2019-07-29,brickmortar,1091.538,980.031
2019-08-05,brickmortar,981.559,993.9886
2019-08-12,brickmortar,1042.015,993.9886
2019-08-19,brickmortar,1156.844,993.9886
2019-08-26,brickmortar,1173.515,993.9886
2019-09-02,brickmortar,984.045,31927.6966
2019-09-09,brickmortar,1707.748,31927.6966
2019-09-16,brickmortar,1092.133,31927.6966
2019-09-23,brickmortar,1253.313,31927.6966
2019-09-30,brickmortar,1081.898,31927.6966
2019-10-07,brickmortar,1347.938,7233.9886
2019-10-14,brickmortar,1590.107,7233.9886
2019-10-21,brickmortar,1191.077,7233.9886
2019-10-28,brickmortar,1614.387,7233.9886
2019-11-04,brickmortar,1413.957,15315.9508
2019-11-11,brickmortar,1875.203,15315.9508
2019-11-18,brickmortar,1348.25,15315.9508
2019-11-25,brickmortar,2438.821,15315.9508
2019-12-02,brickmortar,2141.228,175797.1626
2019-12-09,brickmortar,2115.952,175797.1626
2019-12-16,brickmortar,2995.491,175797.1626
2019-12-23,brickmortar,2828.547,175797.1626
2019-12-30,brickmortar,994.193,175797.1626
