date,salevenue,sales,cost
2019-01-07,totals,907.744,648.5154
2019-01-14,totals,1022.858,648.5154
2019-01-21,totals,1057.87,648.5154
2019-01-28,totals,954.218,648.5154
2019-02-04,totals,1245.347,34331.676
2019-02-11,totals,1841.797,34331.676
2019-02-18,totals,1087.266,34331.676
2019-02-25,totals,1130.869,34331.676
2019-03-04,totals,1453.108,73314.9529
2019-03-11,totals,1217.821,73314.9529
2019-03-18,totals,1370.21,73314.9529
2019-03-25,totals,1282.449,73314.9529
2019-04-01,totals,1277.088,73314.9529
2019-04-08,totals,1303.119,31105.0284
2019-04-15,totals,1180.217,31105.0284
2019-04-22,totals,1730.696,31105.0284
2019-04-29,totals,2205.382,31105.0284
2019-05-06,totals,1910.11,8884.4262
2019-05-13,totals,1162.389,8884.4262
2019-05-20,totals,1113.377,8884.4262
2019-05-27,totals,1203.365,8884.4262
2019-06-03,totals,1422.257,824.4262
2019-06-10,totals,1388.019,824.4262
2019-06-17,totals,1153.121,824.4262
2019-06-24,totals,1140.634,824.4262
2019-07-01,totals,950.832,980.031
2019-07-08,totals,1025.398,980.031
2019-07-15,totals,1120.538,980.031
2019-07-22,totals,1183.445,980.031
2019-07-29,totals,1179.135,980.031
2019-08-05,totals,1053.274,993.9886
2019-08-12,totals,1113.779,993.9886
2019-08-19,totals,1541.482,993.9886
2019-08-26,totals,1478.15,993.9886
2019-09-02,totals,1075.886,31927.6966
2019-09-09,totals,1828.793,31927.6966
2019-09-16,totals,1187.555,31927.6966
2019-09-23,totals,1347.737,31927.6966
2019-09-30,totals,1258.737,31927.6966
2019-10-07,totals,1531.892,7233.9886
2019-10-14,totals,1719.94,7233.9886
2019-10-21,totals,1310.078,7233.9886
2019-10-28,totals,1915.348,7233.9886
2019-11-04,totals,2058.34,15315.9508
2019-11-11,totals,2380.645,15315.9508
2019-11-18,totals,1547.752,15315.9508
2019-11-25,totals,2587.048,15315.9508
2019-12-02,totals,2454.419,175797.1626
2019-12-09,totals,2363.659,175797.1626
2019-12-16,totals,3215.458,175797.1626
2019-12-23,totals,2961.187,175797.1626
2019-12-30,totals,1087.049,175797.1626
2020-01-06,totals,971.022,4828.42455
2020-01-13,totals,924.721,4828.42455
2020-01-20,totals,1054.823,4828.42455
2020-01-27,totals,1031.958,4828.42455
2020-02-03,totals,1337.408,26906.6584
2020-02-10,totals,1662.122,26906.6584
2020-02-17,totals,1092.675,26906.6584
2020-02-24,totals,1045.253,26906.6584
2020-03-02,totals,1132.348,26906.6584
2020-03-09,totals,1003.61,10698.3945
2020-03-16,totals,499.562,10698.3945
2020-03-23,totals,301.414,10698.3945
2020-03-30,totals,329.051,10698.3945
2020-04-06,totals,409.112,8108.85955
2020-04-13,totals,561.35,8108.85955
2020-04-20,totals,684.131,8108.85955
2020-04-27,totals,710.348,8108.85955
2020-05-04,totals,1019.244,0
2020-05-11,totals,935.391,0
2020-05-18,totals,841.293,0
2020-05-25,totals,820.563,0
2020-06-01,totals,881.205,0
2020-06-08,totals,851.908,0
2020-06-15,totals,996.241,0
2020-06-22,totals,1028.465,0
2020-06-29,totals,909.015,0
2020-07-06,totals,1053.58,0
2020-07-13,totals,1251.178,0
2020-07-20,totals,1062.698,0
2020-07-27,totals,1038.71,0
2020-08-03,totals,1005.887,0
2020-08-10,totals,1033.168,0
2020-08-17,totals,1352.964,0
2020-08-24,totals,1016.192,0
2020-08-31,totals,1003.121,0
2020-09-07,totals,1414.449,0
2020-09-14,totals,1325.01,0
2020-09-21,totals,1467.79,0
2020-09-28,totals,1113.913,0
2020-10-05,totals,1341.015,0
2020-10-12,totals,1268.743,0
2020-10-19,totals,1200.657,0
2020-10-26,totals,1652.935,0
2020-11-02,totals,2023.528,0
2020-11-09,totals,2202.574,79758.105
2020-11-16,totals,1582.567,79758.105
2020-11-23,totals,2445.531,79758.105
2020-11-30,totals,2418.15,79758.105
2020-12-07,totals,2473.208,1250
2020-12-14,totals,3153.709,1250
2020-12-21,totals,3292.159,1250
2020-12-28,totals,973.101,1250
